scramble,orientation,Step_UB_UF_UL_UR,Step_FL_UFL,Step_BL_UBL,Step_BR_UBR,Step_FR_UFR,Step_RD,Step_BD_DBL_DBR_DFR_LD,total_moves
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,R B2 R2 F L' D,B' L' B2 U L B,L D F D' L',U2 R2 B' R' B U2 R',R2 U' F' U F R2,L' B L F' L' B' L F U,L2 U B F' L2 B' F U L2,48
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D2 F D' B' F,U' B2 L' B2 L,F U R' F R F2,R F R' F' R',B L U2 L' B',R B U' L U L' U B' U' R' U,F2 D B2 D L2 B D F' D2 B D' F',49
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L B' R2 U' L2,R B2 R' B2,L' U F' L F L,L U' F2 L' F2,U' B L' B L B' U B',B' U' B2 L U L' U' B2 U2 B,U F2 D B2 D L2 B D F' D2 B D' F' U,53
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L F' L2 R' D L,L U L',F2 R2 B' R' B R' F2,L U' F2 L' F2,B L U2 L' B',L' U' B' U B L U2,B2 R2 B' L' B R2 B' L B',42
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,L D2 L B L' F' D,U' B' U2 R' U2 R B,L U L2 U2 L,U' F' U' F,F R2 F' R2,U B' U' B2 L U L' U' B2 U2 B U',U R2 U' B' F R2 B F' U' R2,49
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D B L D2 L',L U2 L' U B' U' B,R' F U2 F' R,U2 F2 U' F' U F2,B U2 B',U2 B' U' B2 L U L' U' B2 U2 B,B2 R2 B' L' B R2 B' L B',46
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F' D L B F' L',B U' B2 L' B' L B,D' L2 D F' U' F2,U2 L2 F2 L' F2 L',U R2 U2 R U R' U R2,L' U' B' U B L U',U L2 U B F' L2 B' F U L2 U2,51
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,L2 U B D2 L' B,U L U B U2 B' L',U2 R' F2 R F2,B2 L' R2 B2 L R2,R' U2 F' U' F U' R,F R B2 D B D2 R D R2 B F',R2 B2 R F R' B2 R F' R,51
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,R' F' U2 B L F',L U' L',F U2 F' U' F U F',U2 L F2 L' F2,B U B',F R2 B2 D B D' R2 F' R B R',R2 U B2 D2 F2 L2 D F2 D B2 U2 R2 U' R2,49
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B L U' F2 R' B',B' R' U2 R B,U' L U L2 U2 L,R2 B2 R2 B2,B R B' R' B',U' B U L' U' B' U B L B',U' B' U L' U' B2 D2 F' R' F D2 B' U L,50
