scramble,orientation,Step_FD_RD,Step_FL_UFL,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_DBL,Step_UB_UF,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,L' U' F L' U' B' R2 D F',F2 D',F2 U2 R2 U2,R D2 B2 U2 L U2 B2 D2,B2 L' U' R' F2 R U L B2,L' B L' F2 L B' L' F2 L2,L2 B2 R2 F2 R2 B2,47
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B F2 R D L U' B2 F',F2 L2 D,U' L U2 B2 U2 L' U,U B2 R D2 B2 U2 L U,L' D' B' F L2 B F' D' L,L' B L' F2 L B' L' F2 L2,F2 L2 F2 D F2 L2 F2 D,52
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,U2 L' R' U F2 U B' L' F',L U L2 D B2 D' B2 D' L U',L2 D L2,L' F2 U2 B2 R D' B2 U2 L2,D,B F' D U' F' D' U B' F,D' B' F L2 B F' D',48
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,D B2 R2 D' R' B' L F',U2 B2 U2,L R2 B U F2 U' B' L' R2,L' D2 F2 D2 L,D' R D2 F2 D2 R' D,F2 L2 F2 U' B2 R2 B2 U,R2 F2 U L2 F2 R2 D B2,48
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U' R F2 L' D2 B' U B' U2,U B2 R' F2 D2 B2 L' F2 U,B2 U' B2 U' B2 U,D2 R' F2 D2 F2 R D2,L2,L' B L' F2 L B' L' F2 L2,F2 D' L2 F2 L2 D' F2 L2,49
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D B' U B L' F L2 B',L2 D' R D2 F2 D2 R' D L2,R B2 U2 F2 L D' B2 D' F2 U2,D2,L' U' R' F2 R U L,,F2 L2 D F2 L2 F2 D L2,43
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,F' R' U2 F R2 B2 U2 B',B2 R B2 U2 F2 L F2 U2,B2 U' B2 U' B2 U,U' F2 U' B2 D' L' F2 D2 B2 R',B2 L2 B2,,B F' U2 B F' U B2 F2 D' R2,45
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B' L2 D L2 F D B2 R,U L' B2 D2 B2 L U',D2,U' R' U L2 D' L' U' R U L',L2 U' F2 U,F2 L2 F2 U' B2 R2 B2 U,L2 B2 R2 F2 R2 B2,44
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' D' B' R' F' D' U2 R' B2,L U' R' F2 R U L',F R' D R2 F D2 F' R2 D' R F',L D2 F2 D2 L' D',L' F2 D2 F2 L',L' B L' F2 L B' L' F2 L2,L2 B2 R2 F2 R2 B2,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,D B2 R2 B' R F' R' U' B,D F2 L2,F2 U2 R2 U2,U2 B F2 R D F2 D' R' B' F2 U2,F2,L' B L' F2 L B' L' F2 L2,B2 L2 U' B F D2 B F D' R2,47
