scramble,orientation,Step_GEN,Step_BD,Step_DBL_DBR_DFR_LD,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_UB_UL_UR,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,B D U' F',F2,U' B2 D' L U B2 L2,L2 U2 R2 U2 L2,R2 D' B2 D U' L' U R2,L2 F L F' L B D2 B',B2 R' B' L U' B2 U L' R D' B' D2,,45
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B U R' D' B',R' U,D2 R' B2 U F2 U' L2,D' U B R' U R' U' R2 B2 D B U',R' B2 D2 U2 L U2,U' L U B2 R D R',B2 D B2 D' B2 L' D' L,D B F' R2 D U' B D' U B' F,58
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' R D B' F',F2,D' R D' L D2 R D' L',B' R' F' R2 B R F R2,L2 U2 R U2 L2,U R' U2 L D2 L' D L' D2 U2 R' U' B2,B U2 F' D2 F U2 B',D' R2 B2 R2 B2 R2 B2 D,55
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R D B L' F',,L2 R2 F' L2 D L2 D' F,B2 D L' D' L D' B2,R2 U' B D' B U B' D B' U R' U' R',U2 F2 L' U L B2 D B2 U,L' D2 L,B2 R2 B2 D' R2 B2 R2 D',53
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,B' R' B',R U,D' F2 U2 L R2 F2 R',U R D' R' U',U R' D U' B2 L' D L B2,L F2 L D' F2 D R2 U' L' B2 R2 F2,B F' R' D' R D F D B',B F' D U' B' D' U B' F D,57
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,U' B L D' F',U,U2 F2 L U' R' U' L,U' F2 L' D2 F2 U2 R' B2 U',U2 R' D R D U2,D2 U' L' U' R F2 R' U L U,L2 U' F2 D F2 U,F2 R2 D L2 B2 R2 U L2,52
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,L2 R' F',R' U,D L R D' L2 B2 R',F2 D2 L2 U2 L2 D2 R2 F2,R' B2 D2 U2 L D U2,F U2 B' R B U2 F2 L F L',L' B2 L' B2 L B2,L2 D' F2 U' B2 F2 D B2 D L2,53
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,L B2 R B' F',L' U',U2 R U' B2 F2 R U',U2 L' U' R2 U L U2,R2 U' B D' B U B' D B' U R' U' R',B2 D L B2 L' B2 U' L U,D2 L' D L,R2 F2 L2 B2 L2 F2,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,F L D2 U' B',B2 U2,L' B2 R2 D' R' B2 L2,B2 D' U R2 U',U2 R' D2 R U2,U' L2 U B2 R D' R' B2,B D B2 F L2 U' F U' B F2 L D2 L,F2 D B F' D' U F' D U' B' F',56
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L2 B D F',U2,D' L' R B2 D L',D' L' D2 L,B R B2 U' B D L B' L' U B D',B2 U R2 U' B2 D,B' L F2 L' B L F2 L',L2 B2 D B' F' D2 B' F' U F2,51
