scramble,orientation,Step_BD,Step_DBL_DBR_DFR,Step_LD,Step_GEN,Step_FR_UFR,Step_BR_UBR,Step_BL_UBL,Step_FL_UFL,Step_UF,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F,B L' R2 B L2,B' F2 U' B F2,B R' D' B' U' L2 B' L2 U,,U2 R2 D' R2 U F2 U,L2 U L U' R U2 L R2 D R F2,L D B' F L2 B F' D L',D B F' R2 B' F D,F2 U' B2 R2 F2 D' B2 L2,62
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,L F,U R2 F2 U' L',F L' U B' U' F',U2 B' L2 D F' D' L' B U2,,D2 R' D2 U2 L U2,F' L' F2 D' F D F2 D L D2 F,B2 U2 F2 R F2 U2 B2 L,,R2 U L2 B2 R2 B2 L2 F2 U' R2,57
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' F,L2 B' R D2 R,L' U2 R U2,B' U F D' R2 D2 F R' U',D2,D2 F' L B R2 B2 U2 B L' F,D B2 U2 F2 U' R2 U' B2,U' B2 R' F2 D2 B2 L' F2 U',L B2 L' R D2 R',F2 U' B F' L2 B' F U' F2,63
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U,F' D R2 U2 R F,B2 F' L2 B' U2,L U R' D U' B2 D' B' L',R' D' B F' R2 B' F D' R,F' L D F' L' F D' L' F,D',R D U' B2 D' U R,,D' R2 F2 L2 U B2 L2 F2 D2,56
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R F',U B' F2 U' B,,R B2 U R2 F' R' D F U' B,R' U2 B2 U2 R' U2 B2 U2,D2 L U' L' D2 L2 F2 L' U L',U2 L D2 U2 R',R' U R U' R B2 U R' U' R' B2,L B2 L' R D2 R',U F2 L2 B2 D B2 L2 F2,65
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U L F,F2 R' U F2 R2,L D2 U2 R' U2,B U R2 U R F' U2 B2 L B',,L2 U2 R2 U2 L2 D2,L2 U2 F2 D B2 U' B2 U F2 U,B2 R U R U' B2 R' U R' U' R,D B F' R2 B' F D,U2 B2 R2 F2 D B2 L2 F2 U',66
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,,D' R' F' U' F L2,,F2 U2 B' U' R F' U' F' D' B',U2 B2 L' B2 U2 F2 R' F2,D2 R D2 U2 L' U2,U R' U R' F2 R2 U2 L' U' L U,B2 U R2 D' R2 U',D B F' R2 B' F D,F D2 B F' R2 B',60
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B U2,R B2 D L',R' F' U' B' F R2,D' L' D L B U2 F' U2,,R2 D' U F2 D U',B2 U2 F2 R' F2 U2 B2 L',U2 L' D2 U2 R,D B F' R2 B' F D,U' B2 R2 F2 D2 R2 B2 L2 U',55
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R2 U,L2 R2 F' D U2 F,L D U' F' U,L' D' L U2 F U' R' U',U' F2 L' D2 F2 U2 R' B2 U',D' R2 D' B2 D R2,R' U F R' U F2 U2 R' B' R' D B,D' L2 D' L2 D L2,D B F' R2 B' F D,U' B2 R2 F2 D2 R2 B2 L2 U',70
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B U2,R' D' R B' L2 B',B' F2 U' B F2,U2 F D F' U L D2 U B',B2 L' R2 D' L D R2 B2 R D R',D' R D2 U2 L' U2,U B2 U2 F2 D F2 U L2,B2 R U R U' B2 R' U R' U' R,D B F' R2 B' F D,D' L R' B2 L' R D',72
