scramble,orientation,Step_BD,Step_DBL_DBR_DFR,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,Step_BR_UBR,Step_GEN,Step_UF,Step_LD,Step_FD_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,F,B L' R2 B L2,F2 D L2 D' F2,F R' F U2 F' R F',B2 L D L' B2 U' F' U,B2 L' D' L B' U B' U R U2,R2 U B' F R' D2 R B F' U',D' B2 F2 U B2 F2,B F' U2 B' F R2,F2 L2 B2 D' B2 L2 F2 U',66
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,L F,U R2 F2 U' L',B D' B2 F2 U B F2,U2 F U2 B' D,L2 U' F2 L' F L F2 U,L2 F L F' L,R F' U2 L2 D2 B' L2 U2 R,D B2 F2 U' B2 F2,B F' U2 B' F R2,U' B2 R2 F2 D2 R2 B2 L2 U',62
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,L' F,L2 B' R D2 R,U' B D' U R',U R2 F' R' F R' U',B2 R' F L2 F' U2 F L' U2 R,U' F R' D' B' L B R U,D' L R' B L' R,B2 F2 U' B2 F2 D,B F' D2 B' F L2,F2 U' B F' L2 B' F U' F2,65
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R F',U B' F2 U' B,B2 R D' R' B2 U' L U,U2 F2 D2 F2 U2 B2,R U' L2 D2 L2 B L U' F U2 B',U2 B R2 B' U2,L B' D U' L2 D' U B' L',R D2 L R' B2 L',U2 B F' L2 B' F,B2 D B2 R2 B2 D B2 R2,66
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,U,F' D R2 U2 R F,U' F' U L D2,R' U L2 B2 L U R' U2 L U' R2,U' F2 U' R2 U F2 U,U2 R' U' L2 F' R2 F L2 U',B2 D B' F L' B' F',B2 F2 U' B2 F2 D,U2 B F' L2 B' F,D2 R2 B2 R2 D2 B2 R2 B2,66
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U L F,F2 R' U F2 R2,F D' F L F2 D,B L' U' B2 U2 B U2 B U,U' B D' B2 R' U R D L2 U B',F R D' R' D' F' R D,F2 U' B F' L B' F',D' B2 F2 U B2 F2,F2 U B2 F2 D' B2,D' R2 F2 L2 U B2 L2 F2 D2,70
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R2 U,L2 R2 F' D U2 F,R U2 L2 F L2 U2 R',B2 L' B' L2 F U' L' B' L F' L',B' L B L',R B D2 F' U' F D2 B',L2 D' L R' B L R,D' B2 F2 U B2 F2,,U2 B2 R2 F2 R2 B2 L2 U2,59
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,,D' R' F' U' F L2,L' B2 F2 R B2 F2,U L B L' D' B' D B U',F U2 R2 F' L' B2 U2 B U' B2 U2 L,R' U' L D B U,L2 B F' D2 R B' F D',L B2 L' R D2 R',F2 U B2 F2 D' B2,U2 B2 R2 F2 R2 B2 L2 U2,67
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,B U2,R B2 D L',L' D' F' D' F D L D,L B L' R D' R',L' B' L2 F U B F',U2 R' D R D2 U2,L2 D' L R' B L R,,F2 U' B2 F2 D B2,F2 U' B F' L2 B' F U' F2,55
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B U2,R' D' R B' L2 B',R' D R' B' R2,U B' U' L,B U B2 D B U' L2 B' L2,L2 R' F' R F L2 U2 F' U' F U',R U2 L2 B R2 D2 L2 F R,B2 F2 U B2 F2 D',F2 U' B2 F2 D B2,U F2 L2 B2 D B2 L2 F2,66
