scramble,orientation,Step_UB_UF_UL_UR,Step_FL_UFL,Step_BR_UBR,Step_FR_UFR,Step_BL_UBL,Step_FD_RD,Step_LD,Step_BD_DBL_DBR_DFR,total_moves
B' L' D2 U2 R' D F' L D' L' R F D2 U F U2 F2 R L2 B U2 R,x2,U R2 F L' B2,L2 U L' U' L2,R' D' F' D R,F2 D R D' F2,L' U B' U B U2 L,U R U R B' R' B U' R',,R B' R F2 R' B R F2 R2,45
L U D B2 D' F R2 U F D2 F L2 F2 U' F2 L' F U' R L' D R' F R',x2,F2 R D2 B R F,B' R U2 R' B,R' U2 R2 U R2 U R,F D R2 D' F',U2 F U F',U' B U2 B2 D' R U' R' U R' D B,R2 U B' F R2 B F' U R2 U',,49
D' L' R D L2 B2 L2 U L B D2 L2 D R' L' B' L B L F R2 B2 R',x2,D' F D' B R D,B' U B,U2 F' L' U2 L U' F,L' R' U' L U2 R,U' L' U2 L2 F' L' F,F R2 B2 D2 B D2 R F' R2 B R',,U' R B' R F2 R' B R F2 R2 U,51
R U R B2 L R' B D2 U R L F L F2 U R' D2 F R2 F' D2 L' R' F' B,x2,L2 B2 R2 F' D',F L U L' F',U R' U R2 U R',U' B L' B L B' U B',U B L' U' L B',R B R' F' R U B' U' R' F U,,U R B' R F2 R' B R F2 R2 U',52
L B' R B2 L' F' D2 R' B F L U' B D2 R L2 F' R2 L D' R' D U2,x2,F2 D F L D,U2 L F U2 F' U L',R F R2 U' F' R',B2 U' B' U B2,D2 L' U' L D2,L' B' U' B U B' U' B U L U',,R2 F2 R' B' R F2 R' B R',48
B R' L2 U R' U2 B2 F' D2 R' F D U2 F' U2 L2 D U L B2 D' B',x2,B' F R2 D' L B,U2 R' U' B' U' B R,U2 B2 R B2 U2 R',U' R' U' F R' F' R2,F L U L' F',L' R2 B R F2 R F R2 B' L D2 R2,R2 U B' F R2 B F' U R2 U',,53
L2 R2 B2 D' L U2 B' U D F2 D' L2 D U R2 L' D2 U2 F' D2 B,x2,B' R' D B' D B2,L U B U2 B' L',U R' U2 R2 U R',B U' L U2 L' U2 B',F U2 L2 F' L2 F',U2 L' F U2 B' R U2 R' B U2 F' L,R2 U B' F R2 B F' U R2 U',R B' R F2 R' B R F2 R2,62
U R F2 U D R B2 L D' B2 R2 B R' U F U' R L2 B2 L' B' F' R2 U' B2,x2,R' B L' U B2,R' D2 L' D2 R,F' U R' F2 R F,F2 R2 F' R2 F',U2 L' U B' U B U2 L,U2 F R U' R' F' L' U B' U' B U L,R2 U B' F R2 B F' U R2 U',,52
U B2 R U D' L B' D' F L R B2 D2 U' L' R2 U2 D' B' U2 F,x2,F2 D2 L' D' F' D',R U2 B2 R' B2,F' L' U2 L F,R U R' B U B',F U2 F',R U B' R B R' U' R',R2 U B' F R2 B F' U R2 U',L F R F' L' B F L B' R' B L' B' F',57
F2 L' B' L' R' U2 L' D2 U' R2 U2 R2 L B' L' R2 D U2 B' D U L' F',x2,R B2 R' D' B L2,U' L U L',F' L U' F' L' F2,U B U2 B' U' B U B',L' U R B' R' B U2 L,U' L' B' U' B U B' U' B U L U' U2,,L F R F' L' B F L B' R' B L' B' F',59
