scramble,orientation,Step_BD_DBL_DBR_DFR_LD,Step_UB_UF_UL_UR,Step_FR_UFR,Step_BR_UBR,Step_GEN,Step_FL_UFL,Step_RD,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,D' R2 B' U F2 U L F',R' B2 D B2 D B2 R' B' R2,L2 B' D' F2 R2 F2 D B L2,L2 D B2 U' F2 U B2 D',B2 F2 D' R D R B R' B F2,L' B2 U2 B' D2 F R2 F' D2 B' L,,55
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F' R U2 F L' D' F,U R' B L2 F' D R F2 L' D,F' D2 B D2 F D2 F' D2 B' D2 F D2,B' R2 B F D R D' R' F' R2,R' B' D R2 D' B U F2 U' R,,U R D2 U2 L' U' L D2 U2 R',59
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,B D2 L' U' B2 R2 F' R2,D2 B' U R F D' F' U' B2,F' D2 B D2 F D2 F' D2 B' D2 F D2,L F R' U L' F2 L U' R F' L',R B' D B' D' B2 R2 U R U',D' B' D2 B' D2 B2 D2 B' D',U R D2 U2 L' U' L D2 U2 R',69
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,U' B2 U2 B' L F' R' F2,D R U R U F' L' F' U2,R' B2 R' F2 R B2 R' F2 R2,F' L U R' U L F' L2 R F,B2 F2 R B' R' D' R D B' F2,L' B2 U2 B' D2 F R2 F' D2 B' L,R D2 U2 L' U L D2 U2 R' U',67
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,R U2 L D2 U' F' L',U' L2 D U2 R U' B' D B2,R' B' D' F' U' R U F D B,L F R' F2 U' F2 R F' L',R' U2 F' D R2 B U B' R2 D' U2 R,B2 U2 L U2 L B2 U2 L U2 L2,R D2 U2 L' U L D2 U2 R' U',67
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,L' F D2 B2 U L B,D' B D2 B2 D' F' R F,U' F U' F U' R' U R U F2 U,B' U B R B' U2 B U R',U F R' F R F2 U2 L' U' L U2,,U R D2 U2 L' U' L D2 U2 R',56
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,D2 F2 R' F D F2 R2,F' L B' U2 R' B U L' D' F,D2 R' U R U2 L' U' L D2 U2,R' U2 F' D' F' D F2 U2 R,U F R' F R F2 U2 L' U' L U2,,U R D2 U2 L' U' L D2 U2 R',57
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,D' R' F' U' F L2,R' D' B2 L R' B L' R2 D,U2 R2 D F2 D' R2 U L2 U,U F2 R' F' R F2 U F U2,B U B L' B U2 B' L B' U' B',L' B' F U2 B F' L',U R D2 U2 L' U' L D2 U2 R',61
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,B' R U' R B' U B' U2,F D R F' D' R' D2 B F' R2,,U' F2 U B2 D' L2 D B2,F U R' U' F' U F U2 R U F',B U2 L2 B' L' B U B' L' U,U R D2 U2 L' U' L D2 U2 R',57
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,L B F2 U' F' U' L',F' U R B L2 D F L2 U F,B2 D U2 L' D' U B U B2,R2 U L D2 R2 D2 L' U' R2,B F' D F' D' F2 L2 B' U' B L2 B',U B' U R2 D' F D R2 U2 B,R D2 U2 L' U L D2 U2 R' U',67
